空气阻力系数k = f / v^2 = 0.800000, 初速(m/s)(向上为正) = -100.000000, 物体质量(kg) = 1.000000, 计算时间精度(ms) = 1.000000, 总计算时间(ms) = 10000.000000
时间(ms),速度(m/s),加速度(m/s^2),位移(m),总位移(m),冲量(Ns),做功(j)
5.000000,-66.076476,-3908.519715,-0.068031,-0.484127,-33.923524,265.899473
10.000000,-51.760943,-2330.945961,-0.052926,-0.775849,-48.239057,123.368616
15.000000,-42.634196,-1552.146291,-0.043410,-1.010386,-57.365804,67.379089
20.000000,-36.291892,-1109.278003,-0.036847,-1.206865,-63.708108,40.873046
25.000000,-31.622435,-832.877893,-0.032039,-1.376124,-68.377565,26.684470
30.000000,-28.038706,-648.567750,-0.028363,-1.524923,-71.961294,18.395321
35.000000,-25.200552,-519.413277,-0.025460,-1.657772,-74.799448,13.224396
40.000000,-22.896958,-425.343817,-0.023110,-1.777834,-77.103042,9.829538
45.000000,-20.989931,-354.673716,-0.021167,-1.887414,-79.010069,7.507473
50.000000,-19.385351,-300.217289,-0.019535,-1.988246,-80.614649,5.864883
55.000000,-18.016785,-257.355367,-0.018145,-2.081667,-81.983215,4.669832
60.000000,-16.835979,-223.007199,-0.016947,-2.168732,-83.164021,3.779411
65.000000,-15.807026,-195.053233,-0.015905,-2.250285,-84.192974,3.102234
70.000000,-14.902649,-171.995937,-0.014989,-2.327014,-85.097351,2.577986
75.000000,-14.101748,-152.752629,-0.014178,-2.399487,-85.898252,2.165746
80.000000,-13.387743,-136.524646,-0.013456,-2.468179,-86.612257,1.837076
85.000000,-12.747422,-122.712295,-0.012809,-2.533490,-87.252578,1.571795
90.000000,-12.170129,-110.858126,-0.012226,-2.595760,-87.829871,1.355303
95.000000,-11.647170,-100.608234,-0.011697,-2.655283,-88.352830,1.176862
100.000000,-11.171381,-91.685325,-0.011217,-2.712312,-88.828619,1.028455
105.000000,-10.736806,-83.869618,-0.010779,-2.767067,-89.263194,0.904009
110.000000,-10.338453,-76.985087,-0.010377,-2.819742,-89.661547,0.798870
115.000000,-9.972106,-70.889399,-0.010008,-2.870506,-90.027894,0.709429
120.000000,-9.634176,-65.466453,-0.009667,-2.919511,-90.365824,0.632858
125.000000,-9.321595,-60.620777,-0.009352,-2.966891,-90.678405,0.566920
130.000000,-9.031719,-56.273279,-0.009060,-3.012765,-90.968281,0.509828
135.000000,-8.762259,-52.357983,-0.008788,-3.057243,-91.237741,0.460145
140.000000,-8.511226,-48.819499,-0.008536,-3.100419,-91.488774,0.416705
145.000000,-8.276877,-45.611048,-0.008300,-3.142383,-91.723123,0.378557
150.000000,-8.057685,-42.692901,-0.008079,-3.183214,-91.942315,0.344917
155.000000,-7.852302,-40.031144,-0.007872,-3.222984,-92.147698,0.315138
160.000000,-7.659536,-37.596678,-0.007678,-3.261758,-92.340464,0.288680
165.000000,-7.478325,-35.364428,-0.007496,-3.299599,-92.521675,0.265092
170.000000,-7.307727,-33.312688,-0.007324,-3.336560,-92.692273,0.243995
175.000000,-7.146895,-31.422593,-0.007163,-3.372692,-92.853105,0.225068
180.000000,-6.995072,-29.677682,-0.007010,-3.408044,-93.004928,0.208038
185.000000,-6.851575,-28.063544,-0.006866,-3.442657,-93.148425,0.192673
190.000000,-6.715791,-26.567514,-0.006729,-3.476573,-93.284209,0.178775
195.000000,-6.587161,-25.178426,-0.006600,-3.509827,-93.412839,0.166171
200.000000,-6.465182,-23.886406,-0.006477,-3.542456,-93.534818,0.154715
205.000000,-6.349395,-22.682696,-0.006361,-3.574490,-93.650605,0.144279
210.000000,-6.239382,-21.559506,-0.006250,-3.605959,-93.760618,0.134750
215.000000,-6.134761,-20.509888,-0.006145,-3.636893,-93.865239,0.126034
220.000000,-6.035184,-19.527628,-0.006045,-3.667316,-93.964816,0.118043
225.000000,-5.940331,-18.607156,-0.005950,-3.697253,-94.059669,0.110706
230.000000,-5.849908,-17.743468,-0.005859,-3.726726,-94.150092,0.103955
235.000000,-5.763645,-16.932058,-0.005772,-3.755759,-94.236355,0.097734
240.000000,-5.681293,-16.168857,-0.005689,-3.784370,-94.318707,0.091991
245.000000,-5.602622,-15.450186,-0.005610,-3.812578,-94.397378,0.086681
250.000000,-5.527419,-14.772712,-0.005535,-3.840402,-94.472581,0.081764
255.000000,-5.455488,-14.133408,-0.005463,-3.867858,-94.544512,0.077205
260.000000,-5.386646,-13.529520,-0.005393,-3.894962,-94.613354,0.072970
265.000000,-5.320724,-12.958540,-0.005327,-3.921729,-94.679276,0.069033
270.000000,-5.257565,-12.418176,-0.005264,-3.948174,-94.742435,0.065366
275.000000,-5.197020,-11.906334,-0.005203,-3.974309,-94.802980,0.061948
280.000000,-5.138955,-11.421096,-0.005145,-4.000148,-94.861045,0.058758
285.000000,-5.083240,-10.960704,-0.005089,-4.025703,-94.916760,0.055776
290.000000,-5.029757,-10.523542,-0.005035,-4.050984,-94.970243,0.052986
295.000000,-4.978394,-10.108122,-0.004983,-4.076004,-95.021606,0.050373
300.000000,-4.929046,-9.713075,-0.004934,-4.100772,-95.070954,0.047923
305.000000,-4.881616,-9.337139,-0.004886,-4.125298,-95.118384,0.045624
310.000000,-4.836011,-8.979147,-0.004841,-4.149591,-95.163989,0.043464
315.000000,-4.792146,-8.638018,-0.004796,-4.173661,-95.207854,0.041432
320.000000,-4.749937,-8.312756,-0.004754,-4.197515,-95.250063,0.039520
325.000000,-4.709310,-8.002432,-0.004713,-4.221163,-95.290690,0.037718
330.000000,-4.670192,-7.706189,-0.004674,-4.244611,-95.329808,0.036019
335.000000,-4.632516,-7.423226,-0.004636,-4.267867,-95.367484,0.034416
340.000000,-4.596216,-7.152800,-0.004600,-4.290938,-95.403784,0.032901
345.000000,-4.561232,-6.894221,-0.004565,-4.313831,-95.438768,0.031470
350.000000,-4.527507,-6.646843,-0.004531,-4.336553,-95.472493,0.030116
355.000000,-4.494988,-6.410064,-0.004498,-4.359109,-95.505012,0.028834
360.000000,-4.463621,-6.183323,-0.004467,-4.381505,-95.536379,0.027619
365.000000,-4.433360,-5.966094,-0.004436,-4.403747,-95.566640,0.026468
370.000000,-4.404158,-5.757885,-0.004407,-4.425840,-95.595842,0.025375
375.000000,-4.375971,-5.558236,-0.004379,-4.447790,-95.624029,0.024338
380.000000,-4.348757,-5.366716,-0.004351,-4.469601,-95.651243,0.023353
385.000000,-4.322478,-5.182919,-0.004325,-4.491279,-95.677522,0.022416
390.000000,-4.297096,-5.006466,-0.004300,-4.512828,-95.702904,0.021526
395.000000,-4.272574,-4.836999,-0.004275,-4.534252,-95.727426,0.020678
400.000000,-4.248881,-4.674182,-0.004251,-4.555555,-95.751119,0.019871
405.000000,-4.225982,-4.517699,-0.004228,-4.576742,-95.774018,0.019102
410.000000,-4.203847,-4.367252,-0.004206,-4.597816,-95.796153,0.018369
415.000000,-4.182447,-4.222560,-0.004185,-4.618781,-95.817553,0.017670
420.000000,-4.161754,-4.083359,-0.004164,-4.639642,-95.838246,0.017002
425.000000,-4.141741,-3.949398,-0.004144,-4.660400,-95.858259,0.016365
430.000000,-4.122383,-3.820442,-0.004124,-4.681060,-95.877617,0.015757
435.000000,-4.103655,-3.696267,-0.004106,-4.701625,-95.896345,0.015175
440.000000,-4.085534,-3.576662,-0.004087,-4.722098,-95.914466,0.014619
445.000000,-4.067998,-3.461427,-0.004070,-4.742481,-95.932002,0.014087
450.000000,-4.051026,-3.350374,-0.004053,-4.762779,-95.948974,0.013578
455.000000,-4.034597,-3.243322,-0.004036,-4.782993,-95.965403,0.013091
460.000000,-4.018691,-3.140102,-0.004020,-4.803126,-95.981309,0.012624
465.000000,-4.003291,-3.040553,-0.004005,-4.823180,-95.996709,0.012177
470.000000,-3.988378,-2.944522,-0.003990,-4.843159,-96.011622,0.011748
475.000000,-3.973934,-2.851862,-0.003975,-4.863065,-96.026066,0.011337
480.000000,-3.959945,-2.762437,-0.003961,-4.882899,-96.040055,0.010943
485.000000,-3.946393,-2.676114,-0.003948,-4.902665,-96.053607,0.010565
490.000000,-3.933263,-2.592769,-0.003935,-4.922364,-96.066737,0.010201
495.000000,-3.920542,-2.512283,-0.003922,-4.941998,-96.079458,0.009853
500.000000,-3.908215,-2.434542,-0.003909,-4.961570,-96.091785,0.009518
505.000000,-3.896268,-2.359439,-0.003897,-4.981081,-96.103732,0.009196
510.000000,-3.884690,-2.286871,-0.003886,-5.000533,-96.115310,0.008886
515.000000,-3.873467,-2.216739,-0.003875,-5.019929,-96.126533,0.008589
520.000000,-3.862587,-2.148950,-0.003864,-5.039269,-96.137413,0.008303
